"471","Ayan","A","1"
"472","Aydan","A","1"
"473","Ayden","A","1"
"474","Aydin","A","1"
"475","Ayo","A","1"
"476","Ayrton","A","1"
"477","Ayu","A","1"
"478","Ayumu","A","1"
"479","Aza","A","1"
"480","Azaiah","A","1"
"481","Azarel","A","1"
"482","Azariah","A","1"
"483","Azarias","A","1"
"484","Azel","A","1"
"485","Aziel","A","1"
"486","Aziz","A","1"
"487","Azizi","A","1"
"488","Azrael","A","1"
"489","Azriel","A","1"
"490","Azure","A","1"
"491","Azzam","A","1"
"492","Azzedine","A","1"
"493","Babar","B","1"
"494","Babson","B","1"
"495","Bacchus","B","1"
"496","Bach","B","1"
"497","Bachelor","B","1"
"498","Badar","B","1"
"499","Baden","B","1"
"500","Bader","B","1"
"501","Baer","B","1"
"502","Baez","B","1"
"503","Baggio","B","1"
"504","Bahram","B","1"
"505","Bailey","B","1"
"506","Bain","B","1"
"507","Bainbridge","B","1"
"508","Bairam","B","1"
"509","Baird","B","1"
"510","Bakar","B","1"
"511","Baker","B","1"
"512","Baku","B","1"
"513","Bala","B","1"
"514","Balbo","B","1"
"515","Baldemar","B","1"
"516","Baldwin","B","1"
"517","Balfour","B","1"
"518","Balin","B","1"
"519","Ballad","B","1"
"520","Ballantine","B","1"
"521","Balliol","B","1"
"522","Ballou","B","1"
"523","Balon","B","1"
"524","Balsam","B","1"
"525","Baltazar","B","1"
"526","Balthasar","B","1"
"527","Balthazar","B","1"
"528","Baltimore","B","1"
"529","Balton","B","1"
"530","Balzac","B","1"
"531","Balzo","B","1"
"532","Bamboo","B","1"
"533","Banan","B","1"
"534","Bancroft","B","1"
"535","Bandit","B","1"
"536","Bangkok","B","1"
"537","Banjo","B","1"
"538","Banks","B","1"
"539","Banner","B","1"
"540","Banning","B","1"
"541","Banyan","B","1"
"542","Baptiste","B","1"
"543","Barabbas","B","1"
"544","Barack","B","1"
"545","Barak","B","1"
"546","Baram","B","1"
"547","Baran","B","1"
"548","Barbeau","B","1"
"549","Barber","B","1"
"550","Barbossa","B","1"
"551","Barclay","B","1"
"552","Bard","B","1"
"553","Barden","B","1"
"554","Bardo","B","1"
"555","Bardolf","B","1"
"556","Bardolph","B","1"
"557","Bardou","B","1"
"558","Bardrick","B","1"
"559","Baretto","B","1"
"560","Barker","B","1"
"561","Barley","B","1"
"562","Barlow","B","1"
"563","Barn","B","1"
"564","Barnabas","B","1"
"565","Barnaby","B","1"
"566","Barnes","B","1"
"567","Barnett","B","1"
"568","Barney","B","1"
"569","Barnum","B","1"
"570","Baron","B","1"
"571","Barr","B","1"
"572","Barrett","B","1"
"573","Barric","B","1"
"574","Barron","B","1"
"575","Barry","B","1"
"576","Bart","B","1"
"577","Bartheleme","B","1"
"578","Barthelemy","B","1"
"579","Bartholomew","B","1"
"580","Bartleby","B","1"
"581","Bartlett","B","1"
"582","Barton","B","1"
"583","Bartram","B","1"
"584","Baruch","B","1"
"585","Bas","B","1"
"586","Basajaun","B","1"
"587","Bascom","B","1"
"588","Bashir","B","1"
"589","Basie","B","1"
"590","Basil","B","1"
"591","Baskara","B","1"
"592","Bassett","B","1"
"593","Bastian","B","1"
"594","Bastien","B","1"
"595","Bat","B","1"
"596","Bates","B","1"
"597","Batten","B","1"
"598","Bauer","B","1"
"599","Baxley","B","1"
"600","Baxter","B","1"
"601","Bay","B","1"
"602","Bayard","B","1"
